Disease,Specialization
Human immunodeficiency virus infection (HIV),Infectious Disease Specialist
Mumps,Infectious Disease Specialist
Subarachnoid hemorrhage,Neuro Surgeon
Acute fatty liver of pregnancy (AFLP),Gynecologist
Ectropion,Ophthalmologist
Lactose intolerance,Gastroenterologist
Eustachian tube dysfunction,ENT Specialist
Appendicitis,General Surgeon
Graves disease,Endocrinologist
Dissociative disorder,Psychiatrist
Open wound of the face,Plastic Surgeon
Dislocation of the vertebra,Neuro Surgeon
Phimosis,Urologist
Hyperemesis gravidarum,Gynecologist
Pregnancy,Gynecologist
Thalassemia,Hematologist
Placenta previa,Gynecologist
Epidural hemorrhage,Neuro Surgeon
Septic arthritis,Orthopedic
Pleural effusion,Pulmonologist
Aphakia,Ophthalmologist
Sialoadenitis,ENT specialist
Gynecomastia,Endocrinologist
Urinary tract infection,Urologist
Histoplasmosis,Infectious Disease Specialist
Erythema multiforme,Dermatologist
Scoliosis,Orthopedic
Bunion,Orthopedic
Arrhythmia,Cardiologist
Paget disease,Endocrinologist
Trigeminal neuralgia,Neurologist
Ankylosing spondylitis,Rheumatologist
Peripheral nerve disorder,Neurologist
Sebaceous cyst,Dermatologist
Poisoning due to antipsychotics,Psychiatrist
Behcet disease,Rheumatologist
Neurosis,Psychiatrist
Prostate cancer,Urologist
Cerebral edema,Neuro Surgeon
Dislocation of the finger,Orthopedic
Birth trauma,Pediatrician
Chronic pancreatitis,Gastroenterologist
Hematoma,General Surgeon
Carcinoid syndrome,Endocrinologist
Burn,Plastic Surgeon
Spontaneous abortion,Gynecologist
Genital herpes,Dermatologist 
Adjustment reaction,Psychiatrist
Gallstone,General Surgeon
Multiple sclerosis,Neurologist
Zenker diverticulum,ENT Specialist
Fracture of the pelvis,Orthopedic Surgeon
Pneumoconiosis,Pulmonologist
Hyperlipidemia,Endocrinologist
Ulcerative colitis,Gastroenterologist
Male genitalia infection,Urologist
HPV,Gynecologist 
Angina,Cardiologist
Injury to the spinal cord,Neuro Surgeon
Nasal polyp,ENT Specialist
Trichiasis,Ophthalmologist
Acariasis,Dermatologist
Colorectal cancer,Oncologist
Factitious disorder,Psychiatrist
Lymphogranuloma venereum,Dermatologist
Galactorrhea of unknown cause,Endocrinologist
G6PD enzyme deficiency,Hematologist
Nerve impingement near the shoulder,Orthopedic Surgeon
Toxoplasmosis,Infectious Disease Specialist
Fibroadenoma,General Surgeon 
Open wound of the hand,Plastic Surgeon 
Missed abortion,Gynecologist
Diabetic ketoacidosis,Endocrinologist
Granuloma inguinale,Dermatologist 
Hemorrhagic fever,Infectious Disease Specialist
Obsessive compulsive disorder (OCD),Psychiatrist
Injury of the ankle,Orthopedic
Hyponatremia,Nephrologist
Stricture of the esophagus,Gastroenterologist
Fracture of the ankle,Orthopedic 
Bone disorder,Rheumatologist
Epilepsy,Neurologist
Personality disorder,Psychiatrist
Shingles (herpes zoster),Dermatologist 
Tourette syndrome,Neurologist
Avascular necrosis,Orthopedic 
Strep throat,ENT specialist
Spinocerebellar ataxia,Neurologist
Osteomyelitis,Infectious Disease Specialist
Sjogren syndrome,Rheumatologist
Adhesive capsulitis of the shoulder,Orthopedic
Viral hepatitis,Hepatologist
Tonsillar hypertrophy,ENT specialist
Gastritis,Gastroenterologist
Rheumatic fever,Rheumatologist
Aphthous ulcer,Dentist
Tonsillitis,ENT specialist
Intestinal cancer,Oncologist
Rocky Mountain spotted fever,Infectious Disease Specialist
